StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q9,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Q10,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which state higher higher rainfall?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which state had the higher pizza consumption?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which state has the higher homicide rate?,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""MTurkCode""}"
2018-05-03 10:55:51,2018-05-03 10:56:21,IP Address,96.59.248.8,100,29,True,2018-05-03 10:56:22,R_87ISsuGEQOhmpAB,,,,,27.866104125977,-82.326499938965,anonymous,EN,0,0,3.158,0,Virginia,0,0,2.706,0,North Dakota,0,0,5.066,0,Utah,78
2018-05-03 10:55:52,2018-05-03 10:56:41,IP Address,70.121.172.21,100,49,True,2018-05-03 10:56:41,R_wXCHFi9UpGFAmn7,,,,,29.583404541016,-98.399398803711,anonymous,EN,0,0,5.048,0,Virginia,0,0,5.046,0,North Dakota,0,0,5.043,0,Utah,42
2018-05-03 10:55:40,2018-05-03 10:56:44,IP Address,24.178.178.124,100,63,True,2018-05-03 10:56:44,R_3n6hycRIvWMtLpM,,,,,33.416793823242,-86.680099487305,anonymous,EN,0,0,5.118,0,Virginia,0,0,5.027,0,North Dakota,0,0,5.043,0,Utah,87
2018-05-03 10:56:04,2018-05-03 10:57:10,IP Address,196.16.109.139,100,65,True,2018-05-03 10:57:10,R_1K29IpYlmP2zfye,,,,,34.054397583008,-118.2440032959,anonymous,EN,0,0,1.628,0,I am not sure,0,0,5.098,0,I am not sure,0,0,0.811,0,Kansas,96
2018-05-03 10:57:01,2018-05-03 10:57:38,IP Address,130.127.110.187,100,37,True,2018-05-03 10:57:39,R_82DI5ddmEsXyowx,,,,,34.847396850586,-82.710098266602,anonymous,EN,0,0,5.056,0,Virginia,0,0,5.055,0,North Dakota,0,0,5.047,0,Utah,72
2018-05-03 10:57:21,2018-05-03 10:57:52,IP Address,173.244.48.29,100,30,True,2018-05-03 10:57:53,R_3Rg9yuwoeDB0Qui,,,,,34.054397583008,-118.2440032959,anonymous,EN,0,0,0.552,0,Kentucky,0,0,0.516,0,Missouri,0,0,1.821,0,Utah,80
2018-05-03 10:56:56,2018-05-03 10:58:01,IP Address,96.19.48.236,100,64,True,2018-05-03 10:58:01,R_d70tOIiG8Rc8Y6t,,,,,43.430694580078,-111.89430236816,anonymous,EN,0,0,5.053,0,Virginia,0,0,5.101,0,North Dakota,0,0,5.016,0,Utah,9
2018-05-03 10:56:58,2018-05-03 10:58:27,IP Address,173.247.21.190,100,88,True,2018-05-03 10:58:27,R_2ZQRJZZMkCFXc7H,,,,,35.048599243164,-85.154998779297,anonymous,EN,0,0,5.091,0,Virginia,0,0,5.083,0,North Dakota,0,0,5.086,0,Utah,58
2018-05-03 10:58:13,2018-05-03 10:58:40,IP Address,128.135.98.12,100,27,True,2018-05-03 10:58:40,R_2WYHgasOpP3fDmX,,,,,41.780395507812,-87.602699279785,anonymous,EN,0.563,0.563,2.645,1,I am not sure,0,0,2.267,0,I am not sure,0,0,2.327,0,I am not sure,22
2018-05-03 10:58:38,2018-05-03 10:59:34,IP Address,50.241.37.229,100,55,True,2018-05-03 10:59:34,R_2ElVVCLKs3NroFG,,,,,44.999404907227,-93.296997070312,anonymous,EN,0,0,5.051,0,Virginia,0,0,4.308,0,North Dakota,0,0,5.056,0,Utah,41
2018-05-03 10:58:23,2018-05-03 10:59:38,IP Address,68.81.42.79,100,75,True,2018-05-03 10:59:38,R_2QGuJ6odUvR8Ehr,,,,,40.270095825195,-75.403999328613,anonymous,EN,0,0,5.08,0,Virginia,0,0,5.063,0,North Dakota,0,0,5.028,0,Utah,50
2018-05-03 11:01:09,2018-05-03 11:01:54,IP Address,69.179.157.90,100,44,True,2018-05-03 11:01:54,R_3ozLFMzqUhUY8C0,,,,,38.789993286133,-90.85489654541,anonymous,EN,2.13,2.13,5.109,1,Virginia,3.53,3.53,5.032,1,North Dakota,0,0,5.036,0,Utah,88
